archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
enkf_25_obs_5_freq_150_var_pst.pkl,enkf,5,150,pst,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.022511005401611328
4dvar_25_obs_5_freq_300_var_pt.pkl,4dvar,5,300,pt,0.06697769522875617,0.04037855691873725,0.2637284576213507,0.12369490325628137,22.058654308319092
4dvar_25_obs_5_freq_300_var_pst.pkl,4dvar,5,300,pst,0.06697769522875617,0.04037855691873725,0.2637284576213507,0.12369490325628137,21.909626960754395
enkf_25_obs_20_freq_150_var_s.pkl,enkf,20,150,s,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.02247166633605957
4dvar_25_obs_10_freq_300_var_t.pkl,4dvar,10,300,t,0.06708985616046846,0.04037855691873725,0.2637284576213507,0.1237322902335188,22.819650888442993
kf_25_obs_5_freq_70_var_st.pkl,kf,5,70,st,0.08786003424823749,0.04037855691873725,0.26372845762334074,0.13065568293010515,0.0029973983764648438
enkf_25_obs_20_freq_70_var_s.pkl,enkf,20,70,s,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.011493206024169922
enkf_25_obs_5_freq_300_var_pst.pkl,enkf,5,300,pst,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.042043447494506836
4dvar_25_obs_10_freq_300_var_p.pkl,4dvar,10,300,p,0.06708985616046846,0.04037855691873725,0.2637284576213507,0.1237322902335188,21.863421201705933
nudging_25_obs_10_freq_300_var_pt.pkl,nudging,10,300,pt,0.07069423666728396,0.04127811424002783,0.26373485270953506,0.12523573453894896,0.0064013004302978516
enkf_25_obs_5_freq_150_var_ps.pkl,enkf,5,150,ps,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.01754283905029297
nudging_25_obs_5_freq_70_var_s.pkl,nudging,5,70,s,0.08803777548099485,0.04037855691873725,0.2637284596137425,0.13071493067115822,0.0008618831634521484
4dvar_25_obs_5_freq_150_var_pst.pkl,4dvar,5,150,pst,0.0720988352693205,0.04037855691873725,0.2637284576213507,0.1254019499364695,22.00159215927124
nudging_25_obs_10_freq_70_var_s.pkl,nudging,10,70,s,0.08803777548099485,0.04037855691873725,0.26372846419594975,0.13071493219856062,0.0008912086486816406
kf_25_obs_10_freq_300_var_s.pkl,kf,10,300,s,0.08803777548099485,0.04037855691873725,0.2637284576370037,0.13071493001224527,0.010942459106445312
kf_25_obs_5_freq_300_var_ps.pkl,kf,5,300,ps,0.088037585927651,0.040378899623067344,0.263728455021029,0.13071498019058245,0.013455867767333984
enkf_25_obs_10_freq_70_var_s.pkl,enkf,10,70,s,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.007772207260131836
nudging_25_obs_20_freq_150_var_ps.pkl,nudging,20,150,ps,0.08772259181603156,0.041498648885799926,0.2636913768723788,0.13097087252473677,0.0038652420043945312
enkf_25_obs_5_freq_150_var_s.pkl,enkf,5,150,s,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.010065555572509766
nudging_25_obs_20_freq_300_var_st.pkl,nudging,20,300,st,0.06797469815930547,0.04037855691873725,0.2637284898186231,0.12402724829888861,0.006609201431274414
enkf_25_obs_10_freq_150_var_t.pkl,enkf,10,150,t,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.014548301696777344
kf_25_obs_5_freq_70_var_pst.pkl,kf,5,70,pst,0.08785998933845844,0.04037863722776787,0.2637284570099272,0.1306556945253845,0.0038361549377441406
nudging_25_obs_20_freq_70_var_st.pkl,nudging,20,70,st,0.06750266781192071,0.04037855691873725,0.26372847107850744,0.12386989860305514,0.002038717269897461
