archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_vel,rmse_total,tiempo
kf_25_obs_10_freq_70_var_st.pkl,kf,10,70,st,0.11055547418892347,0.04160905355853481,0.12299689619893499,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12790649724921763,0.005926609039306641
nudging_25_obs_10_freq_70_var_pst.pkl,nudging,10,70,pst,0.11844751111190338,0.04183723888841218,0.12298545115619347,0.13350783282909737,0.07037068254888502,0.23617753003312913,0.12986193279740954,0.00877070426940918
nudging_25_obs_10_freq_150_var_st.pkl,nudging,10,150,st,0.11977689729128758,0.04160905355853481,0.12299692794901722,0.133824257937718,0.07025582648623095,0.23646456505047725,0.13021186096232923,0.0026035308837890625
4dvar_25_obs_5_freq_300_var_t.pkl,4dvar,5,300,t,0.1102082123614684,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12781969223571105,29.20185875892639
nudging_25_obs_5_freq_150_var_t.pkl,nudging,5,150,t,0.1115824069077625,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1281632408722846,0.0018525123596191406
4dvar_25_obs_20_freq_300_var_t.pkl,4dvar,20,300,t,0.11180291663306122,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12821836830360928,27.264943838119507
enkf_25_obs_10_freq_150_var_s.pkl,enkf,10,150,s,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.012670040130615234
enkf_25_obs_5_freq_150_var_t.pkl,enkf,5,150,t,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.011258840560913086
nudging_25_obs_20_freq_150_var_pt.pkl,nudging,20,150,pt,0.11807287154177495,0.04272944820544756,0.12300688479985976,0.13273932513399914,0.18590769890954967,0.23502598898319754,0.12970879838256993,0.0038576126098632812
nudging_25_obs_20_freq_70_var_p.pkl,nudging,20,70,p,0.097073102036579,0.04216426205468801,0.12299937794586681,0.13326726464241473,0.07205830804286009,0.23583405939579596,0.12451770035823245,0.0009944438934326172
enkf_25_obs_10_freq_70_var_t.pkl,enkf,10,70,t,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.008385419845581055
kf_25_obs_5_freq_300_var_pt.pkl,kf,5,300,pt,0.11669941060913731,0.04368926575877259,0.12299551603559615,0.12915655890572666,0.5571854006742919,0.35489560587952185,0.15956994957075699,0.013134956359863281
enkf_25_obs_20_freq_150_var_p.pkl,enkf,20,150,p,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.03341531753540039
nudging_25_obs_5_freq_70_var_t.pkl,nudging,5,70,t,0.10935557717557197,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12760653343923695,0.0009877681732177734
nudging_25_obs_10_freq_70_var_t.pkl,nudging,10,70,t,0.11846452935601978,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1298837714843489,0.0011448860168457031
kf_25_obs_10_freq_300_var_t.pkl,kf,10,300,t,0.11039589321585178,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12786661244930692,0.027446985244750977
enkf_25_obs_5_freq_150_var_pt.pkl,enkf,5,150,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.015774011611938477
enkf_25_obs_20_freq_70_var_p.pkl,enkf,20,70,p,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.014488935470581055
kf_25_obs_20_freq_300_var_pt.pkl,kf,20,300,pt,0.11303413641483996,0.04867033753804754,0.12351545329820483,0.12972156178592406,0.5237779836194353,0.33297178193934795,0.15454792729761008,0.3139357566833496
