archivo,metodo,res,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_total_normalizado,tiempo
enkf_25_obs_20_freq_70_var_t.pkl,enkf,25,20,70,t,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.012127876281738281
4dvar_25_obs_10_freq_300_var_s.pkl,4dvar,25,10,300,s,0.08974100419508754,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63047188076456,27.42140555381775
kf_25_obs_20_freq_150_var_st.pkl,kf,25,20,150,st,0.08884348900766743,522.1458244278508,2.7239357651666305,0.563941853357432,0.06406634283392976,278.627982697718,0.22197937965393066
nudging_25_obs_5_freq_70_var_p.pkl,nudging,25,5,70,p,0.09039079958908348,522.0950197885602,2.7241830445206645,0.5634711473497294,0.06396575261111634,278.622083267773,0.0008957386016845703
kf_25_obs_10_freq_300_var_p.pkl,kf,25,10,300,p,0.09001663084637779,517.8971552735917,2.7370969191271777,0.5499783490939281,0.1216066632495288,277.73937948532125,0.011528730392456055
nudging_25_obs_10_freq_70_var_p.pkl,nudging,25,10,70,p,0.09039585960175298,521.9480164873818,2.72438087477329,0.5629856437014646,0.06401503808083878,278.57646207488466,0.0010254383087158203
enkf_25_obs_20_freq_150_var_t.pkl,enkf,25,20,150,t,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.023784399032592773
enkf_25_obs_10_freq_70_var_p.pkl,enkf,25,10,70,p,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.010294675827026367
nudging_25_obs_20_freq_70_var_t.pkl,nudging,25,20,70,t,0.08919644168424475,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.62896109566293,0.0012350082397460938
nudging_25_obs_10_freq_70_var_st.pkl,nudging,25,10,70,st,0.08978870710470442,522.1458244278508,2.723935741704237,0.563941853357432,0.06406634283392976,278.6306042315878,0.0013113021850585938
kf_25_obs_10_freq_150_var_pt.pkl,kf,25,10,150,pt,0.08936666713064512,519.044981162576,2.7328345752574728,0.5523896473705284,0.10133595120193918,277.9393726335892,0.01055908203125
enkf_25_obs_5_freq_150_var_p.pkl,enkf,25,5,150,p,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.012621402740478516
4dvar_25_obs_5_freq_70_var_pst.pkl,4dvar,25,5,70,pst,0.09020151310253094,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.631749475132,29.787006378173828
4dvar_25_obs_5_freq_150_var_st.pkl,4dvar,25,5,150,st,0.0902573645832541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63190442444136,28.689643383026123
4dvar_25_obs_20_freq_300_var_p.pkl,4dvar,25,20,300,p,0.08922016090531798,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.62902690013004,27.911827564239502
4dvar_25_obs_5_freq_300_var_p.pkl,4dvar,25,5,300,p,0.09037274934222213,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6322245375071,28.47282576560974
kf_25_obs_20_freq_300_var_s.pkl,kf,25,20,300,s,0.09039612290839541,522.1458244278508,2.7239357916091556,0.563941853357432,0.06406634283392976,278.63229107992845,0.06425309181213379
4dvar_25_obs_5_freq_70_var_s.pkl,4dvar,25,5,70,s,0.09020151310253094,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.631749475132,26.8003933429718
nudging_25_obs_5_freq_150_var_p.pkl,nudging,25,5,150,p,0.09038342287110075,522.0378188418962,2.7244686176745523,0.5629506720031642,0.06397562737783892,278.61121754043154,0.001964569091796875
kf_25_obs_10_freq_150_var_p.pkl,kf,25,10,150,p,0.09010839871398725,519.044981162576,2.7328345752574728,0.5523896473705284,0.10133595120193918,277.9414304267777,0.0058748722076416016
4dvar_25_obs_10_freq_70_var_p.pkl,4dvar,25,10,70,p,0.0896625254808467,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63025415649986,28.435492515563965
kf_25_obs_20_freq_150_var_pt.pkl,kf,25,20,150,pt,0.08849772964544332,515.7811431776915,2.7389355718212194,0.5528424941855634,0.13226368567967867,277.07868299346467,0.08855557441711426
4dvar_25_obs_10_freq_150_var_s.pkl,4dvar,25,10,150,s,0.08967425093493903,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63028668654187,27.38742446899414
kf_25_obs_10_freq_150_var_pst.pkl,kf,25,10,150,pst,0.08936666713064512,519.044981162576,2.7328345791280335,0.5523896473705284,0.10133595120193918,277.9393727645652,0.013090133666992188
4dvar_25_obs_20_freq_70_var_t.pkl,4dvar,25,20,70,t,0.08896248339416986,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6283120228898,28.463534355163574
nudging_25_obs_10_freq_70_var_pt.pkl,nudging,25,10,70,pt,0.08979146449356316,521.9480164873818,2.72438087477329,0.5629856437014646,0.06401503808083878,278.57478529562275,0.0016865730285644531
enkf_25_obs_20_freq_300_var_t.pkl,enkf,25,20,300,t,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.044039011001586914
4dvar_25_obs_20_freq_150_var_pst.pkl,4dvar,25,20,150,pst,0.08898831132751985,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.628383677578,28.71626043319702
